bank,fiscal_year,country,is_gsib,is_usa,total_assets,net_income,total_equity,roa,roe,ln_assets,D_genai,ai_mentions,ceo_age,ceo_tenure,source
SocGen,2020,France,1,0,,,,,,,0,,,,annual_report
SocGen,2021,France,1,0,,,,,,,0,,,,annual_report
SocGen,2022,France,1,0,,,,,,,0,,,,annual_report
SocGen,2023,France,1,0,,,,,,,1,,,,annual_report
SocGen,2024,France,1,0,,,,,,,1,,,,annual_report
CreditAgricole,2018,France,1,0,,,,,,,0,,,,annual_report
CreditAgricole,2019,France,1,0,,,,,,,0,,,,annual_report
CreditAgricole,2020,France,1,0,,,,,,,0,,,,annual_report
CreditAgricole,2021,France,1,0,,,,,,,0,,,,annual_report
CreditAgricole,2022,France,1,0,,,,,,,0,,,,annual_report
CreditAgricole,2023,France,1,0,,,,,,,1,,,,annual_report
CreditAgricole,2024,France,1,0,,,,,,,1,,,,annual_report
UBS,2018,Switzerland,1,0,,,,,,,0,,,,annual_report
UBS,2019,Switzerland,1,0,,,,,,,0,,,,annual_report
UBS,2020,Switzerland,1,0,,,,,,,0,,,,annual_report
UBS,2021,Switzerland,1,0,,,,,,,0,,,,annual_report
UBS,2022,Switzerland,1,0,,,,,,,0,,,,annual_report
UBS,2023,Switzerland,1,0,,,,,,,1,,,,annual_report
UBS,2024,Switzerland,1,0,,,,,,,1,,,,annual_report
Santander,2018,Spain,1,0,,,,,,,0,,,,annual_report
Santander,2019,Spain,1,0,,,,,,,0,,,,annual_report
Santander,2020,Spain,1,0,,,,,,,0,,,,annual_report
Santander,2021,Spain,1,0,,,,,,,0,,,,annual_report
Santander,2022,Spain,1,0,,,,,,,0,,,,annual_report
Santander,2023,Spain,1,0,,,,,,,1,,,,annual_report
Santander,2024,Spain,1,0,,,,,,,1,,,,annual_report
BBVA,2018,Spain,0,0,,,,,,,0,,,,annual_report
BBVA,2019,Spain,0,0,,,,,,,0,,,,annual_report
BBVA,2020,Spain,0,0,,,,,,,0,,,,annual_report
BBVA,2021,Spain,0,0,,,,,,,0,,,,annual_report
BBVA,2022,Spain,0,0,,,,,,,0,,,,annual_report
BBVA,2023,Spain,0,0,,,,,,,1,,,,annual_report
BBVA,2024,Spain,0,0,,,,,,,1,,,,annual_report
ING,2018,Netherlands,1,0,,,,,,,0,,,,annual_report
ING,2019,Netherlands,1,0,,,,,,,0,,,,annual_report
ING,2020,Netherlands,1,0,,,,,,,0,,,,annual_report
ING,2021,Netherlands,1,0,,,,,,,0,,,,annual_report
ING,2022,Netherlands,1,0,,,,,,,0,,,,annual_report
ING,2023,Netherlands,1,0,,,,,,,1,,,,annual_report
ING,2024,Netherlands,1,0,,,,,,,1,,,,annual_report
ABN,2018,Netherlands,0,0,,,,,,,0,,,,annual_report
ABN,2019,Netherlands,0,0,,,,,,,0,,,,annual_report
ABN,2020,Netherlands,0,0,,,,,,,0,,,,annual_report
ABN,2021,Netherlands,0,0,,,,,,,0,,,,annual_report
ABN,2022,Netherlands,0,0,,,,,,,0,,,,annual_report
ABN,2023,Netherlands,0,0,,,,,,,1,,,,annual_report
ABN,2024,Netherlands,0,0,,,,,,,1,,,,annual_report
UniCredit,2018,Italy,1,0,,,,,,,0,,,,annual_report
UniCredit,2019,Italy,1,0,,,,,,,0,,,,annual_report
UniCredit,2020,Italy,1,0,,,,,,,0,,,,annual_report
UniCredit,2021,Italy,1,0,,,,,,,0,,,,annual_report
UniCredit,2022,Italy,1,0,,,,,,,0,,,,annual_report
UniCredit,2023,Italy,1,0,,,,,,,1,,,,annual_report
UniCredit,2024,Italy,1,0,,,,,,,1,,,,annual_report
Intesa,2018,Italy,0,0,,,,,,,0,,,,annual_report
Intesa,2019,Italy,0,0,,,,,,,0,,,,annual_report
Intesa,2020,Italy,0,0,,,,,,,0,,,,annual_report
Intesa,2021,Italy,0,0,,,,,,,0,,,,annual_report
Intesa,2022,Italy,0,0,,,,,,,0,,,,annual_report
Intesa,2023,Italy,0,0,,,,,,,1,,,,annual_report
Intesa,2024,Italy,0,0,,,,,,,1,,,,annual_report
Nordea,2018,Finland,0,0,,,,,,,0,,,,annual_report
Nordea,2019,Finland,0,0,,,,,,,0,,,,annual_report
Nordea,2020,Finland,0,0,,,,,,,0,,,,annual_report
Nordea,2021,Finland,0,0,,,,,,,0,,,,annual_report
Nordea,2022,Finland,0,0,,,,,,,0,,,,annual_report
Nordea,2023,Finland,0,0,,,,,,,1,,,,annual_report
Nordea,2024,Finland,0,0,,,,,,,1,,,,annual_report
SEB,2018,Sweden,0,0,,,,,,,0,,,,annual_report
SEB,2019,Sweden,0,0,,,,,,,0,,,,annual_report
SEB,2020,Sweden,0,0,,,,,,,0,,,,annual_report
SEB,2021,Sweden,0,0,,,,,,,0,,,,annual_report
SEB,2022,Sweden,0,0,,,,,,,0,,,,annual_report
SEB,2023,Sweden,0,0,,,,,,,1,,,,annual_report
SEB,2024,Sweden,0,0,,,,,,,1,,,,annual_report
Swedbank,2018,Sweden,0,0,,,,,,,0,,,,annual_report
Swedbank,2019,Sweden,0,0,,,,,,,0,,,,annual_report
Swedbank,2020,Sweden,0,0,,,,,,,0,,,,annual_report
Swedbank,2021,Sweden,0,0,,,,,,,0,,,,annual_report
Swedbank,2022,Sweden,0,0,,,,,,,0,,,,annual_report
Swedbank,2023,Sweden,0,0,,,,,,,1,,,,annual_report
Swedbank,2024,Sweden,0,0,,,,,,,1,,,,annual_report
DNB,2018,Norway,0,0,,,,,,,0,,,,annual_report
DNB,2019,Norway,0,0,,,,,,,0,,,,annual_report
DNB,2020,Norway,0,0,,,,,,,0,,,,annual_report
DNB,2021,Norway,0,0,,,,,,,0,,,,annual_report
DNB,2022,Norway,0,0,,,,,,,0,,,,annual_report
DNB,2023,Norway,0,0,,,,,,,1,,,,annual_report
DNB,2024,Norway,0,0,,,,,,,1,,,,annual_report
Danske,2018,Denmark,0,0,,,,,,,0,,,,annual_report
Danske,2019,Denmark,0,0,,,,,,,0,,,,annual_report
Danske,2020,Denmark,0,0,,,,,,,0,,,,annual_report
Danske,2021,Denmark,0,0,,,,,,,0,,,,annual_report
Danske,2022,Denmark,0,0,,,,,,,0,,,,annual_report
Danske,2023,Denmark,0,0,,,,,,,1,,,,annual_report
Danske,2024,Denmark,0,0,,,,,,,1,,,,annual_report
Handelsbanken,2018,Sweden,0,0,,,,,,,0,,,,annual_report
Handelsbanken,2019,Sweden,0,0,,,,,,,0,,,,annual_report
Handelsbanken,2020,Sweden,0,0,,,,,,,0,,,,annual_report
Handelsbanken,2021,Sweden,0,0,,,,,,,0,,,,annual_report
Handelsbanken,2022,Sweden,0,0,,,,,,,0,,,,annual_report
Handelsbanken,2023,Sweden,0,0,,,,,,,1,,,,annual_report
Handelsbanken,2024,Sweden,0,0,,,,,,,1,,,,annual_report
