bank,proxy_year,director_name,director_age
Wells Fargo,2024,age of,75
Wells Fargo,2024,increased from,72
Wells Fargo,2024,Resources Committee,71
Wells Fargo,2024,Nominating Committee,70
Wells Fargo,2024,Risk Committee,66
Wells Fargo,2024,Responsibility Committee,66
Wells Fargo,2024,Proxy Statement,35
Wells Fargo,2024,representing approximately,51
Wells Fargo,2024,instruct the,40
Wells Fargo,2024,in the,40
Wells Fargo,2024,vote to,53
Wells Fargo,2024,Committees Finance,71
Wells Fargo,2024,Board Committees,59
Wells Fargo,2024,Finance Committee,72
Wells Fargo,2024,British multinational,64
Wells Fargo,2024,Human Resources,59
Wells Fargo,2024,Committees Audit,66
Wells Fargo,2024,Committees Risk,61
Wells Fargo,2024,Committees Corporate,64
Wells Fargo,2024,Audit Committee,68
Wells Fargo,2024,financial services,59
Wells Fargo,2024,of employment,65
Wells Fargo,2024,these benefits,65
Wells Fargo,2024,Normal retirement,65
Wells Fargo,2024,generally occurs,55
Wells Fargo,2024,point credited,65
Wells Fargo,2024,retirement means,55
Wells Fargo,2024,named executive,55
Wells Fargo,2025,FOR page,41
Wells Fargo,2025,Compensation Tables,74
Wells Fargo,2025,Financial Services,54
Wells Fargo,2025,Financial Reporting,54
Wells Fargo,2025,Total contacted,61
Wells Fargo,2025,nominees and,51
Wells Fargo,2025,management experience,50
Wells Fargo,2025,after their,75
Wells Fargo,2025,age of,75
Wells Fargo,2025,director nominees,66
Wells Fargo,2025,Resources Committee,72
Wells Fargo,2025,Finance Committee,60
Wells Fargo,2025,Nominating Committee,73
Wells Fargo,2025,Risk Committee,67
Wells Fargo,2025,Audit Committee,67
Wells Fargo,2025,Proxy Statement,35
Wells Fargo,2025,as needed,72
Wells Fargo,2025,Bridget E. Engle,55
Wells Fargo,2025,instruct the,40
Wells Fargo,2025,in the,40
Wells Fargo,2025,vote to,41
Wells Fargo,2025,Committees Finance,72
Wells Fargo,2025,Board Committees,60
Wells Fargo,2025,since July,65
Wells Fargo,2025,Human Resources,60
Wells Fargo,2025,Committees Risk,62
Wells Fargo,2025,since June,65
Wells Fargo,2025,financial services,60
Wells Fargo,2025,since October,65
Wells Fargo,2025,of employment,65
Wells Fargo,2025,these benefits,65
Wells Fargo,2025,Normal retirement,65
Wells Fargo,2025,generally occurs,55
Wells Fargo,2025,point credited,65
Wells Fargo,2025,retirement means,55
Goldman Sachs,2025,Ratio Disclosure,69
Goldman Sachs,2025,David Solomon,63
Goldman Sachs,2025,David Viniar,69
Goldman Sachs,2025,Michele Burns,67
Goldman Sachs,2025,Mark Flaherty,65
Goldman Sachs,2025,Kimberley Harris,54
Goldman Sachs,2025,John Hess,70
Goldman Sachs,2025,Kevin Johnson,64
Goldman Sachs,2025,Ellen Kullman,69
Goldman Sachs,2025,KC McClure,60
Goldman Sachs,2025,Lakshmi Mittal,74
Goldman Sachs,2025,Thomas Montag,68
Goldman Sachs,2025,Peter Oppenheimer,62
Goldman Sachs,2025,Jan Tighe,62
Goldman Sachs,2025,John Waldron,56
Goldman Sachs,2025,attended over,75
Goldman Sachs,2025,goals and,50
Goldman Sachs,2025,At least,50
Goldman Sachs,2025,at least,90
Goldman Sachs,2025,Lakshmi Mittal,53
Goldman Sachs,2025,to the,40
Goldman Sachs,2025,Goldman Sachs,40
Goldman Sachs,2025,annuity following,65
Goldman Sachs,2025,become eligible,55
Goldman Sachs,2025,which provides,75
Goldman Sachs,2025,if earlier,50
Morgan Stanley,2025,of Directors,35
Morgan Stanley,2025,Risk Oversight,42
Morgan Stanley,2025,Transactions Policy,50
Morgan Stanley,2025,Committee Report,54
Morgan Stanley,2025,Megan Butler,60
Morgan Stanley,2025,Thomas H. Glocer,65
Morgan Stanley,2025,Robert H. Herz,71
Morgan Stanley,2025,Erika H. James,55
Morgan Stanley,2025,Shelley B. Leibowitz,64
Morgan Stanley,2025,Dennis M. Nally,72
Morgan Stanley,2025,Douglas L. Peterson,66
Morgan Stanley,2025,Edward Pick,56
Morgan Stanley,2025,Mary L. Schapiro,69
Morgan Stanley,2025,Perry M. Traquina,69
Morgan Stanley,2025,Masato Miyachi,64
Morgan Stanley,2025,Peterson has,40
Morgan Stanley,2025,at least,75
Morgan Stanley,2025,the strong,42
Morgan Stanley,2025,Risk Committees,40
Morgan Stanley,2025,are granted,50
Morgan Stanley,2025,PROXY STATEMENT,51
Morgan Stanley,2025,Governance Information,35
Morgan Stanley,2025,Benefits are,65
Morgan Stanley,2025,CONTENTS Compensation,60
Morgan Stanley,2025,retirement between,55
Morgan Stanley,2025,no distributions,55
Bank of New York Mellon,2021,Information Page,38
Bank of New York Mellon,2021,COMPENSATION Page,44
Bank of New York Mellon,2021,Linda Z. Cook,62
Bank of New York Mellon,2021,Joseph J. Echevarria,64
Bank of New York Mellon,2021,Gibbons Age,64
Bank of New York Mellon,2021,Amy Gilliland,46
Bank of New York Mellon,2021,Jeffrey A. Goldstein,65
Bank of New York Mellon,2021,Guru Gowrappan,40
Bank of New York Mellon,2021,Ralph Izzo,63
Bank of New York Mellon,2021,Kelly Age,75
Bank of New York Mellon,2021,Elizabeth E. Robinson,52
Bank of New York Mellon,2021,Scott III,76
Bank of New York Mellon,2021,Frederick O. Terrell,66
Bank of New York Mellon,2021,Zollar Age,66
Bank of New York Mellon,2021,would be,75
Bank of New York Mellon,2021,at least,75
Bank of New York Mellon,2021,on page,71
Bank of New York Mellon,2021,Director Compensation,47
Bank of New York Mellon,2021,Resolution Page,49
Bank of New York Mellon,2021,Executive Compensation,71
Bank of New York Mellon,2021,RATIFICATION OF,84
Bank of New York Mellon,2021,Report of,85
Bank of New York Mellon,2021,Services Provided,86
Bank of New York Mellon,2021,STOCKHOLDER REQUESTS,87
Bank of New York Mellon,2021,Compensation Discussion,49
Bank of New York Mellon,2021,about our,83
Bank of New York Mellon,2021,section of,49
Bank of New York Mellon,2021,Oversight of,37
Bank of New York Mellon,2021,Board Meetings,38
Bank of New York Mellon,2021,Compensation Consultants,42
Bank of New York Mellon,2021,Contacting the,44
Bank of New York Mellon,2021,Overview Page,46
Bank of New York Mellon,2021,ELECTION OF,63
Bank of New York Mellon,2021,directly contact,43
Bank of New York Mellon,2021,for nomination,43
Bank of New York Mellon,2021,oversight and,37
Bank of New York Mellon,2021,HRC Committee,39
Bank of New York Mellon,2021,How We,70
Bank of New York Mellon,2021,in determining,42
Bank of New York Mellon,2021,As discussed,42
Bank of New York Mellon,2021,Pay Practices,67
Bank of New York Mellon,2021,"Advisory
Vote",48
Bank of New York Mellon,2021,COMPENSATION DISCUSSION,49
Bank of New York Mellon,2021,Performance Highlights,55
Bank of New York Mellon,2021,EXECUTIVE COMPENSATION,71
Bank of New York Mellon,2021,Summary Compensation,73
Bank of New York Mellon,2021,Outstanding Equity,74
Bank of New York Mellon,2021,Option Exercises,76
Bank of New York Mellon,2021,Nonqualified Deferred,77
Bank of New York Mellon,2021,Potential Payments,79
Bank of New York Mellon,2021,Pay Ratio,82
Bank of New York Mellon,2021,with stockholder,63
Bank of New York Mellon,2021,discussion regarding,56
Bank of New York Mellon,2021,Those decisions,57
Bank of New York Mellon,2021,or RSUs,61
Bank of New York Mellon,2021,and the,70
Bank of New York Mellon,2021,and Recoupment,68
Bank of New York Mellon,2021,metrics for,63
Bank of New York Mellon,2021,as described,61
Bank of New York Mellon,2021,of the,71
Bank of New York Mellon,2021,awards granted,57
Bank of New York Mellon,2021,"Keating
received",57
Bank of New York Mellon,2021,information on,68
Bank of New York Mellon,2021,independent compensation,42
Bank of New York Mellon,2021,base salary,60
Bank of New York Mellon,2021,Grants of,71
Bank of New York Mellon,2021,and on,73
Bank of New York Mellon,2021,"Nonqualified
Deferred",77
Bank of New York Mellon,2021,"to
change",50
Bank of New York Mellon,2021,Plan participants,50
Bank of New York Mellon,2021,Harris were,50
Bank of New York Mellon,2021,Gibbons is,55
Bank of New York Mellon,2021,in this,60
Bank of New York Mellon,2021,column of,71
Bank of New York Mellon,2021,upon retirement,70
Bank of New York Mellon,2021,If an,55
Bank of New York Mellon,2021,Table of,80
Bank of New York Mellon,2021,and his,60
Bank of New York Mellon,2021,BNY Mellon,76
Bank of New York Mellon,2021,retirement can,76
Bank of New York Mellon,2021,Ratification of,84
Bank of New York Mellon,2021,REPORT OF,85
Bank of New York Mellon,2021,SERVICES PROVIDED,86
Bank of New York Mellon,2021,Related Fees,86
Bank of New York Mellon,2021,Other Services,86
Bank of New York Mellon,2021,Approval Policy,86
Bank of New York Mellon,2021,additional information,62
Bank of New York Mellon,2021,further detail,44
Bank of New York Mellon,2021,individual included,71
Bank of New York Mellon,2021,which is,67
Bank of New York Mellon,2022,Information Page,37
Bank of New York Mellon,2022,COMPENSATION Page,43
Bank of New York Mellon,2022,Linda Z. Cook,63
Bank of New York Mellon,2022,Joseph J. Echevarria,65
Bank of New York Mellon,2022,Gibbons Age,65
Bank of New York Mellon,2022,Amy Gilliland,47
Bank of New York Mellon,2022,Jeffrey A. Goldstein,66
Bank of New York Mellon,2022,Guru Gowrappan,41
Bank of New York Mellon,2022,Ralph Izzo,65
Bank of New York Mellon,2022,Connor Age,54
Bank of New York Mellon,2022,Elizabeth E. Robinson,53
Bank of New York Mellon,2022,Frederick O. Terrell,67
Bank of New York Mellon,2022,Zollar Age,67
Bank of New York Mellon,2022,would be,75
Bank of New York Mellon,2022,age of,75
Bank of New York Mellon,2022,at least,75
Bank of New York Mellon,2022,on page,42
Bank of New York Mellon,2022,have exceeded,51
Bank of New York Mellon,2022,Director Compensation,46
Bank of New York Mellon,2022,Resolution Page,48
Bank of New York Mellon,2022,Executive Compensation,71
Bank of New York Mellon,2022,RATIFICATION OF,83
Bank of New York Mellon,2022,Report of,84
Bank of New York Mellon,2022,Services Provided,85
Bank of New York Mellon,2022,PROPOSAL REGARDING,86
Bank of New York Mellon,2022,The Compensation,48
Bank of New York Mellon,2022,about our,82
Bank of New York Mellon,2022,section of,48
Bank of New York Mellon,2022,Oversight of,36
Bank of New York Mellon,2022,Board Meetings,37
Bank of New York Mellon,2022,Compensation Consultants,42
Bank of New York Mellon,2022,Contacting the,43
Bank of New York Mellon,2022,Overview Page,45
Bank of New York Mellon,2022,ELECTION OF,65
Bank of New York Mellon,2022,Public Service,54
Bank of New York Mellon,2022,directly contact,42
Bank of New York Mellon,2022,on communicating,42
Bank of New York Mellon,2022,HRC Committee,38
Bank of New York Mellon,2022,How We,70
Bank of New York Mellon,2022,"Compensation
Discussion",48
Bank of New York Mellon,2022,in determining,65
Bank of New York Mellon,2022,Compensation Discussion,48
Bank of New York Mellon,2022,As discussed,42
Bank of New York Mellon,2022,Pay Practices,67
Bank of New York Mellon,2022,Advisory Vote,47
Bank of New York Mellon,2022,COMPENSATION DISCUSSION,48
Bank of New York Mellon,2022,Performance Highlights,54
Bank of New York Mellon,2022,EXECUTIVE COMPENSATION,71
Bank of New York Mellon,2022,Summary Compensation,73
Bank of New York Mellon,2022,Outstanding Equity,74
Bank of New York Mellon,2022,Option Exercises,76
Bank of New York Mellon,2022,Nonqualified Deferred,77
Bank of New York Mellon,2022,Potential Payments,78
Bank of New York Mellon,2022,Pay Ratio,81
Bank of New York Mellon,2022,our benchmarking,63
Bank of New York Mellon,2022,of the,56
Bank of New York Mellon,2022,or RSUs,58
Bank of New York Mellon,2022,and the,70
Bank of New York Mellon,2022,and Recoupment,68
Bank of New York Mellon,2022,of incentive,56
Bank of New York Mellon,2022,as described,58
Bank of New York Mellon,2022,information on,68
Bank of New York Mellon,2022,for general,66
Bank of New York Mellon,2022,Role of,42
Bank of New York Mellon,2022,independent compensation,42
Bank of New York Mellon,2022,that requires,60
Bank of New York Mellon,2022,to change,50
Bank of New York Mellon,2022,Plan participants,50
Bank of New York Mellon,2022,Gibbons was,50
Bank of New York Mellon,2022,Gibbons is,55
Bank of New York Mellon,2022,in this,60
Bank of New York Mellon,2022,upon retirement,70
Bank of New York Mellon,2022,If an,55
Bank of New York Mellon,2022,BNY Mellon,76
Bank of New York Mellon,2022,retirement can,76
Bank of New York Mellon,2022,column of,71
Bank of New York Mellon,2022,Ratification of,83
Bank of New York Mellon,2022,REPORT OF,84
Bank of New York Mellon,2022,SERVICES PROVIDED,85
Bank of New York Mellon,2022,Related Fees,85
Bank of New York Mellon,2022,Other Services,85
Bank of New York Mellon,2022,Approval Policy,85
Bank of New York Mellon,2022,Discussion and,61
Bank of New York Mellon,2022,is described,43
Bank of New York Mellon,2022,individual included,71
Bank of New York Mellon,2022,which is,67
Bank of New York Mellon,2023,Committee Information,38
Bank of New York Mellon,2023,Compensation Table,72
Bank of New York Mellon,2023,Information Page,38
Bank of New York Mellon,2023,COMPENSATION Page,44
Bank of New York Mellon,2023,would be,75
Bank of New York Mellon,2023,age of,75
Bank of New York Mellon,2023,at least,75
Bank of New York Mellon,2023,on page,43
Bank of New York Mellon,2023,The Compensation,49
Bank of New York Mellon,2023,about our,87
Bank of New York Mellon,2023,section of,49
Bank of New York Mellon,2023,Oversight of,37
Bank of New York Mellon,2023,Board Meetings,38
Bank of New York Mellon,2023,Compensation Consultants,43
Bank of New York Mellon,2023,Contacting the,44
Bank of New York Mellon,2023,Overview Page,46
Bank of New York Mellon,2023,directly contact,43
Bank of New York Mellon,2023,on communicating,43
Bank of New York Mellon,2023,an environment,70
Bank of New York Mellon,2023,HRC Committee,39
Bank of New York Mellon,2023,In addition,71
Bank of New York Mellon,2023,can be,39
Bank of New York Mellon,2023,Compensation Discussion,49
Bank of New York Mellon,2023,in determining,66
Bank of New York Mellon,2023,Zollar See,37
Bank of New York Mellon,2023,As discussed,43
Bank of New York Mellon,2023,Pay Practices,68
Bank of New York Mellon,2023,Advisory Vote,48
Bank of New York Mellon,2023,COMPENSATION DISCUSSION,49
Bank of New York Mellon,2023,Performance Highlights,57
Bank of New York Mellon,2023,Report of,71
Bank of New York Mellon,2023,EXECUTIVE COMPENSATION,72
Bank of New York Mellon,2023,Summary Compensation,74
Bank of New York Mellon,2023,Outstanding Equity,75
Bank of New York Mellon,2023,Option Exercises,77
Bank of New York Mellon,2023,Nonqualified Deferred,78
Bank of New York Mellon,2023,Potential Payments,79
Bank of New York Mellon,2023,Pay Ratio,83
Bank of New York Mellon,2023,our benchmarking,54
Bank of New York Mellon,2023,or RSUs,61
Bank of New York Mellon,2023,and the,71
Bank of New York Mellon,2023,and recoupment,69
Bank of New York Mellon,2023,Peer Group,54
Bank of New York Mellon,2023,in addition,67
Bank of New York Mellon,2023,of incentive,59
Bank of New York Mellon,2023,for credit,65
Bank of New York Mellon,2023,See the,72
Bank of New York Mellon,2023,Spotlight on,35
Bank of New York Mellon,2023,as described,61
Bank of New York Mellon,2023,information on,69
Bank of New York Mellon,2023,of the,72
Bank of New York Mellon,2023,Role of,43
Bank of New York Mellon,2023,independent compensation,43
Bank of New York Mellon,2023,year basis,54
Bank of New York Mellon,2023,that requires,60
Bank of New York Mellon,2023,to change,50
Bank of New York Mellon,2023,Plan participants,50
Bank of New York Mellon,2023,Gibbons was,50
Bank of New York Mellon,2023,in this,60
Bank of New York Mellon,2023,BNY Mellon,77
Bank of New York Mellon,2023,retirement can,77
Bank of New York Mellon,2023,column of,72
Bank of New York Mellon,2023,Ratification of,88
Bank of New York Mellon,2023,REPORT OF,89
Bank of New York Mellon,2023,SERVICES PROVIDED,90
Bank of New York Mellon,2023,Related Fees,90
Bank of New York Mellon,2023,Other Services,90
Bank of New York Mellon,2023,Approval Policy,90
Bank of New York Mellon,2023,Election of,44
Bank of New York Mellon,2023,Compensation of,53
Bank of New York Mellon,2023,incentive awards,79
Bank of New York Mellon,2023,and clawback,69
Bank of New York Mellon,2023,any severance,70
Bank of New York Mellon,2023,is described,45
Bank of New York Mellon,2023,individual included,72
Bank of New York Mellon,2023,which is,68
Bank of New York Mellon,2024,Committee Information,38
Bank of New York Mellon,2024,Compensation Table,77
Bank of New York Mellon,2024,Information Page,38
Bank of New York Mellon,2024,COMPENSATION Page,44
Bank of New York Mellon,2024,would be,75
Bank of New York Mellon,2024,age of,75
Bank of New York Mellon,2024,at least,75
Bank of New York Mellon,2024,on page,77
Bank of New York Mellon,2024,The Compensation,49
Bank of New York Mellon,2024,Operating lever,46
Bank of New York Mellon,2024,section of,49
Bank of New York Mellon,2024,from his,60
Bank of New York Mellon,2024,Our Approach,37
Bank of New York Mellon,2024,Board Meetings,38
Bank of New York Mellon,2024,Compensation Consultants,43
Bank of New York Mellon,2024,Contacting the,44
Bank of New York Mellon,2024,Overview Page,46
Bank of New York Mellon,2024,directly contact,43
Bank of New York Mellon,2024,on communicating,43
Bank of New York Mellon,2024,HRC Committee,38
Bank of New York Mellon,2024,In addition,75
Bank of New York Mellon,2024,can be,38
Bank of New York Mellon,2024,Compensation Discussion,49
Bank of New York Mellon,2024,in determining,43
Bank of New York Mellon,2024,Independent Members,37
Bank of New York Mellon,2024,As discussed,43
Bank of New York Mellon,2024,Pay Practices,71
Bank of New York Mellon,2024,Advisory Vote,48
Bank of New York Mellon,2024,COMPENSATION DISCUSSION,49
Bank of New York Mellon,2024,Compensation of,69
Bank of New York Mellon,2024,How We,75
Bank of New York Mellon,2024,Report of,76
Bank of New York Mellon,2024,EXECUTIVE COMPENSATION,77
Bank of New York Mellon,2024,Summary Compensation,79
Bank of New York Mellon,2024,Outstanding Equity,80
Bank of New York Mellon,2024,Option Exercises,83
Bank of New York Mellon,2024,Nonqualified Deferred,83
Bank of New York Mellon,2024,Potential Payments,84
Bank of New York Mellon,2024,Pay Ratio,89
Bank of New York Mellon,2024,or RSUs,60
Bank of New York Mellon,2024,and the,75
Bank of New York Mellon,2024,and forfeiture,69
Bank of New York Mellon,2024,in addition,70
Bank of New York Mellon,2024,more information,72
Bank of New York Mellon,2024,peer group,70
Bank of New York Mellon,2024,of the,77
Bank of New York Mellon,2024,independent compensation,43
Bank of New York Mellon,2024,year basis,54
Bank of New York Mellon,2024,to retain,60
Bank of New York Mellon,2024,on retirement,84
Bank of New York Mellon,2024,column of,77
Bank of New York Mellon,2024,is described,45
Bank of New York Mellon,2024,individual included,77
Bank of New York Mellon,2024,which is,71
Bank of New York Mellon,2025,Committee Information,38
Bank of New York Mellon,2025,Compensation Table,76
Bank of New York Mellon,2025,Information Page,38
Bank of New York Mellon,2025,COMPENSATION Page,44
Bank of New York Mellon,2025,would be,75
Bank of New York Mellon,2025,age of,75
Bank of New York Mellon,2025,director etxa,80
Bank of New York Mellon,2025,at least,75
Bank of New York Mellon,2025,on page,76
Bank of New York Mellon,2025,The Compensation,49
Bank of New York Mellon,2025,section of,49
Bank of New York Mellon,2025,from his,60
Bank of New York Mellon,2025,Our Approach,37
Bank of New York Mellon,2025,Board Meetings,38
Bank of New York Mellon,2025,Compensation Consultants,43
Bank of New York Mellon,2025,Contacting the,44
Bank of New York Mellon,2025,Overview Page,46
Bank of New York Mellon,2025,directly contact,43
Bank of New York Mellon,2025,on communicating,43
Bank of New York Mellon,2025,Committees and,38
Bank of New York Mellon,2025,refer to,74
Bank of New York Mellon,2025,Compensation Discussion,49
Bank of New York Mellon,2025,in determining,43
Bank of New York Mellon,2025,Meetings in,37
Bank of New York Mellon,2025,as discussed,38
Bank of New York Mellon,2025,As discussed,43
Bank of New York Mellon,2025,Prohibition on,70
Bank of New York Mellon,2025,Advisory Vote,48
Bank of New York Mellon,2025,COMPENSATION DISCUSSION,49
Bank of New York Mellon,2025,Compensation of,68
Bank of New York Mellon,2025,How We,74
Bank of New York Mellon,2025,Report of,75
Bank of New York Mellon,2025,EXECUTIVE COMPENSATION,76
Bank of New York Mellon,2025,Summary Compensation,78
Bank of New York Mellon,2025,Outstanding Equity,79
Bank of New York Mellon,2025,Option Exercises,81
Bank of New York Mellon,2025,Nonqualified Deferred,82
Bank of New York Mellon,2025,Potential Payments,83
Bank of New York Mellon,2025,Pay Ratio,87
Bank of New York Mellon,2025,the equity,60
Bank of New York Mellon,2025,or RSUs,60
Bank of New York Mellon,2025,and forfeiture,68
Bank of New York Mellon,2025,Compensation Benchmarking,69
Bank of New York Mellon,2025,target incentive,55
Bank of New York Mellon,2025,Clawback and,71
Bank of New York Mellon,2025,column of,76
Bank of New York Mellon,2025,description of,60
Bank of New York Mellon,2025,independent compensation,43
Bank of New York Mellon,2025,to retain,60
Bank of New York Mellon,2025,Payments upon,83
Bank of New York Mellon,2025,upon retirement,70
Bank of New York Mellon,2025,If an,55
Bank of New York Mellon,2025,on retirement,83
Bank of New York Mellon,2025,Performance Share,53
Bank of New York Mellon,2025,as described,45
Bank of New York Mellon,2025,individual included,76
State Street,2024,More than,84
State Street,2024,at least,75
State Street,2024,Director Since,62
State Street,2024,and Operations,75
State Street,2024,Risk Sara,68
State Street,2024,Hanley Director,67
State Street,2024,Risk Sean,68
State Street,2024,in the,69
State Street,2024,and the,83
State Street,2024,The ESRP,53
State Street,2024,DC participants,55
State Street,2024,NEO voluntarily,55
State Street,2024,and DVAs,55
State Street,2024,their original,55
State Street,2024,of the,88
State Street,2025,Audit Fees,88
State Street,2025,at least,75
State Street,2025,Proxy Statement,86
State Street,2025,Director Since,63
State Street,2025,PLC None,69
State Street,2025,Hanley Director,68
State Street,2025,in the,64
State Street,2025,and the,81
State Street,2025,their original,55
State Street,2025,age under,65
State Street,2025,Plan are,63
State Street,2025,for each,65
State Street,2025,NEO voluntarily,55
State Street,2025,and DVAs,55
State Street,2025,of the,87
US Bancorp,2019,deferred compensation,62
US Bancorp,2019,to auditor,70
US Bancorp,2019,of Directors,82
US Bancorp,2019,Warner L. Baxter,57
US Bancorp,2019,Andrew Cecere,58
US Bancorp,2019,Lead Director,72
US Bancorp,2019,Craig D. Schnuck,70
US Bancorp,2019,Scott W. Wine,51
US Bancorp,2019,of a Fortune,50
US Bancorp,2019,Woo Ho,71
US Bancorp,2019,at least,75
US Bancorp,2019,act within,90
US Bancorp,2019,Scott W. Wine,40
US Bancorp,2019,our independent,72
US Bancorp,2019,our executives,73
US Bancorp,2019,Bancorp at,82
US Bancorp,2019,Award Amounts,42
US Bancorp,2019,is eligible,65
